complaint_id,complaint_text,expected_category,expected_severity,expected_department,expected_is_duplicate,duplicate_group
SNX-TEST-001,"Contaminated water supply in Ward 29, Highway Junction has caused several children at the local school to fall sick with stomach infections this week. Following up again as this is still unresolved.",Water Supply,Critical,Municipal Water Board,False,
SNX-TEST-002,"A building inspector allegedly took a bribe to overlook safety violations in a construction site near Ward 36, College Road. Kindly would like to request a review.",Corruption & Administrative Misconduct,High,Vigilance & Anti-Corruption Bureau,False,
SNX-TEST-003,"Suggesting a tree plantation drive along the main road in Ward 34, Cross Street to improve green cover. Following up again as this is still unresolved.",Environmental & Pollution,Low,Pollution Control Board,False,
SNX-TEST-004,"Suggest adding a few more dustbins along the walking track in Ward 33, Temple Street to discourage littering. Following up again as this is still unresolved.",Sanitation & Waste Management,Low,Municipal Corporation - Sanitation Wing,False,
SNX-TEST-005,"The waiting area at the community clinic in Ward 34, Cross Street does not have enough seating and no drinking water facility, which is uncomfortable especially for elderly patients and pregnant women during long waits. Following up again as this is still unresolved.",Healthcare Services,Medium,Department of Health & Family Welfare,False,
SNX-TEST-006,"There has remained a complete power outage in Ward 30, Sunrise Colony since yesterday evening affecting the whole street, including a household that depends on an oxygen concentrator for a family member. This has become a medical emergency and needs immediate restoration or a backup arrangement.",Electricity & Power,Critical,State Electricity Board,False,
SNX-TEST-007,"Two men were seen snatching a chain from an elderly woman near Ward 34, Cross Street just now. Kindly send police immediately, people living here are scared.",Public Safety & Law and Order,Critical,Police Department,False,
SNX-TEST-008,"The computer lab at the school in Ward 36, College Road has several non-working systems and no internet connectivity, limiting the digital literacy classes that were promised for this academic year. Following up again as this is still unresolved.",Education Services,Medium,Department of School Education,True,DUPGRP-HO-004
SNX-TEST-009,"An overflowing sewage drain near Sector 19, South Gate Colony has flooded the main road, making it slippery and unsafe for two-wheelers, and the standing water is now breeding mosquitoes. Following up again as this is still unresolved.",Sanitation & Waste Management,High,Municipal Corporation - Sanitation Wing,False,
SNX-TEST-010,"No water supply in Ward 31, Millpet Nagar for over the last 5 days. Entire street affected, families have no drinking water. Kindly send tankers urgently.",Water Supply,Critical,Municipal Water Board,False,
SNX-TEST-011,"Illegal tree felling has remained reported near the park in Sector 21, North Extension over the past few weeks, reducing green cover in an already low-shade neighbourhood. Following up again as this is still unresolved. Following up again as this is still unresolved.",Environmental & Pollution,Medium,Pollution Control Board,True,DUPGRP-HO-002
SNX-TEST-012,"The bus stop near Ward 31, Millpet Nagar has no shelter or seating, making waits difficult during hot afternoons. Following up again as this is still unresolved.",Public Transport,Medium,State Transport Authority,False,
SNX-TEST-013,"An under-construction municipal building in Ward 33, Temple Street has remained abandoned mid-way for over a year, with rumours that the contractor was paid in full despite incomplete work.",Corruption & Administrative Misconduct,Medium,Vigilance & Anti-Corruption Bureau,False,
SNX-TEST-014,"Kindly would like to request a fresh coat of paint for the school building in Sector 19, South Gate Colony, it is looking quite worn out.",Education Services,Low,Department of School Education,False,
SNX-TEST-015,"A transformer sparked and started a small fire near the school in Sector 17, West Block during class hours; teachers evacuated students as a precaution. Following up again as this is still unresolved.",Electricity & Power,Critical,State Electricity Board,False,
SNX-TEST-016,"A factory near Sector 17, West Block is releasing thick black smoke and a strong chemical smell into the air since this morning, people living here are coughing and feeling dizzy.",Environmental & Pollution,Critical,Pollution Control Board,False,
SNX-TEST-017,"Bridge approach near Ward 31, Millpet Nagar has collapsed partially after last night's rain. Road is unsafe, kindly barricade and repair immediately.",Roads & Infrastructure,Critical,Public Works Department (PWD),False,
SNX-TEST-018,"A group of men has remained gathering near the park in Sector 19, South Gate Colony late at night, drinking and causing disturbances, some people living here feel unsafe. Following up again as this is still unresolved. Following up again as this is still unresolved.",Public Safety & Law and Order,High,Police Department,True,DUPGRP-HO-005
SNX-TEST-019,"Kindly would like to request information on the new smart meter rollout schedule for Sector 19, South Gate Colony.",Electricity & Power,Low,State Electricity Board,False,
SNX-TEST-020,"Just a minor suggestion - the buses on the Ward 29, Highway Junction route could announce stop names audibly, similar to routes in other parts of the city. Would help visually impaired commuters and is not immediate.",Public Transport,Low,State Transport Authority,True,DUPGRP-HO-001
SNX-TEST-021,"Road near Sector 19, South Gate Colony has several small potholes that are getting worse with each rain. Kindly schedule repair work.",Roads & Infrastructure,Medium,Public Works Department (PWD),False,
SNX-TEST-022,"Kindly would like to request the health centre in Ward 34, Cross Street to display doctor availability timings on a notice board outside.",Healthcare Services,Low,Department of Health & Family Welfare,False,
SNX-TEST-023,"Bus overcrowding on the Ward 31, Millpet Nagar route is dangerous, passengers hanging from doors during peak hours, risk of a fatal fall. Following up again as this is still unresolved.",Public Transport,Critical,State Transport Authority,True,DUPGRP-HO-003
SNX-TEST-024,"Kindly would like to request more transparency on how welfare scheme beneficiaries are selected in Ward 29, Highway Junction, current process feels unclear to residents.",Corruption & Administrative Misconduct,Low,Vigilance & Anti-Corruption Bureau,False,
SNX-TEST-025,"A street light pole in Sector 19, South Gate Colony has remained flickering on and off for a couple of weeks now. Not an emergency but would like it checked before it fails completely.",Electricity & Power,Medium,State Electricity Board,False,
